"","species","long","lat","continent","year"
"1","Mantis religiosa",34.196421,50.740302,"EUROPE",2003
"2","Mantis religiosa",5.62777,43.51975,"EUROPE",2014
"3","Mantis religiosa",8.142454,49.177123,"EUROPE",2017
"4","Mantis religiosa",-1.528644,42.721918,"EUROPE",2018
"5","Mantis religiosa",-1.788905,42.83071,"EUROPE",2017
"6","Mantis religiosa",-3.679733,39.139115,"EUROPE",2015
"7","Mantis religiosa",-2.303782,39.539989,"EUROPE",2020
"8","Mantis religiosa",2.041456,41.369482,"EUROPE",2016
"9","Mantis religiosa",-0.574594,38.94923,"EUROPE",2009
"10","Mantis religiosa",-3.912812,40.753877,"EUROPE",2020
"11","Mantis religiosa",-8.11888,40.807501,"EUROPE",2020
"12","Mantis religiosa",32.000756,46.983221,"EUROPE",2020
"13","Mantis religiosa",8.811818,45.74699,"EUROPE",2020
"14","Mantis religiosa",-4.538802,36.986203,"EUROPE",2017
"15","Mantis religiosa",4.28343,43.77124,"EUROPE",2016
"16","Mantis religiosa",-8.632469,42.091007,"EUROPE",2018
"17","Mantis religiosa",-0.29289,43.50612,"EUROPE",2014
"18","Mantis religiosa",6.89622,43.9771,"EUROPE",2013
"19","Mantis religiosa",2.67555,44.41879,"EUROPE",2017
"20","Mantis religiosa",0.35781,44.30115,"EUROPE",2018
"21","Mantis religiosa",7.59503,44.13024,"EUROPE",2020
"22","Mantis religiosa",2.03775,49.97895,"EUROPE",2019
"23","Mantis religiosa",7.02704,44.06247,"EUROPE",2002
"24","Mantis religiosa",-2.215118,36.925743,"EUROPE",2009
"25","Mantis religiosa",-2.681792,42.859166,"EUROPE",2014
"26","Mantis religiosa",1.48809,42.7758,"EUROPE",2019
"27","Mantis religiosa",-6.522393,41.305981,"EUROPE",2020
"28","Mantis religiosa",3.73222,43.98858,"EUROPE",1991
"29","Mantis religiosa",6.13419,43.73142,"EUROPE",2012
"30","Mantis religiosa",39.850069,47.338332,"EUROPE",2020
"31","Mantis religiosa",2.09594,48.32237,"EUROPE",1998
"32","Mantis religiosa",-8.249563,40.870102,"EUROPE",2020
"33","Mantis religiosa",4.126444,43.771394,"EUROPE",2019
"34","Mantis religiosa",2.57958,48.91955,"EUROPE",2020
"35","Mantis religiosa",16.233271,48.011849,"EUROPE",2011
"36","Mantis religiosa",4.93089,45.81885,"EUROPE",2001
"37","Mantis religiosa",1.32536,44.85749,"EUROPE",2010
"38","Mantis religiosa",5.14542,46.2416,"EUROPE",2020
"39","Mantis religiosa",3.23479,45.72756,"EUROPE",2000
"40","Mantis religiosa",7.993359,49.760601,"EUROPE",2019
"41","Mantis religiosa",7.858756,49.579456,"EUROPE",2019
"42","Mantis religiosa",-1.827529,42.867027,"EUROPE",2020
"43","Mantis religiosa",7.922952,49.804941,"EUROPE",2020
"44","Mantis religiosa",4.42629,43.94294,"EUROPE",2016
"45","Mantis religiosa",-2.412679,42.776654,"EUROPE",2019
"46","Mantis religiosa",2.00507,48.96418,"EUROPE",2017
"47","Mantis religiosa",10.466677,45.310675,"EUROPE",2019
"48","Mantis religiosa",7.493189,45.170394,"EUROPE",2020
"49","Mantis religiosa",16.332672,48.270479,"EUROPE",2015
"50","Mantis religiosa",16.563998,48.157753,"EUROPE",2016
"51","Mantis religiosa",3.00988,43.38663,"EUROPE",2012
"52","Mantis religiosa",6.275449,49.638617,"EUROPE",2020
"53","Mantis religiosa",-8.310794,41.516969,"EUROPE",2019
"54","Mantis religiosa",15.52283,46.656153,"EUROPE",2020
"55","Mantis religiosa",12.114387,45.690175,"EUROPE",2019
"56","Mantis religiosa",39.884376,54.783175,"EUROPE",2020
"57","Mantis religiosa",0.62832,45.12232,"EUROPE",2019
"58","Mantis religiosa",3.01973,48.39935,"EUROPE",2014
"59","Mantis religiosa",6.1702,46.42674,"EUROPE",2019
"60","Mantis religiosa",0.32233,47.21285,"EUROPE",2018
"61","Mantis religiosa",0.404409,45.308198,"EUROPE",2020
"62","Mantis religiosa",7.670677,49.789421,"EUROPE",2019
"63","Mantis religiosa",19.074167,47.676944,"EUROPE",2017
"64","Mantis religiosa",-1.11407,46.39369,"EUROPE",2015
"65","Mantis religiosa",15.087904,48.163054,"EUROPE",2020
"66","Mantis religiosa",1.00331,46.67207,"EUROPE",2002
"67","Mantis religiosa",-5.771375,39.512951,"EUROPE",2018
"68","Mantis religiosa",5.447071,43.371837,"EUROPE",2020
