"","long","lat","continent"
"1",-3.635131,43.237161,"EUROPE"
"2",8.229782,49.994877,"EUROPE"
"3",-4.758675,37.909296,"EUROPE"
"4",-2.210976,37.041444,"EUROPE"
"5",22.154045,50.646572,"EUROPE"
"6",-4.753051,37.577737,"EUROPE"
"7",-1.626619,37.537368,"EUROPE"
"8",-0.59585,39.912088,"EUROPE"
"9",-0.489006,39.842456,"EUROPE"
"10",-8.568834,38.109139,"EUROPE"
"11",34.978268,31.948875,"ASIA"
"12",-2.796346,36.756702,"EUROPE"
"13",41.676788,19.567065,"ASIA"
"14",3.18505,43.43715,"EUROPE"
"15",-7.449674,38.345609,"EUROPE"
"16",18.85051,46.72717,"EUROPE"
"17",4.682057,45.378365,"EUROPE"
"18",8.57686,49.863499,"EUROPE"
"19",0.692053,49.457295,"EUROPE"
"20",-8.525621,38.375328,"EUROPE"
"21",16.445559,48.244407,"EUROPE"
"22",5.94666,44.11225,"EUROPE"
"23",-7.62947,43.071469,"EUROPE"
"24",-4.014637,40.728566,"EUROPE"
"25",49.126605,55.778239,"EUROPE"
"26",104.015395,13.823915,"ASIA"
"27",16.157257,48.111535,"EUROPE"
"28",102.67649,16.569564,"ASIA"
"29",15.535516,47.097207,"EUROPE"
"30",16.182759,49.108506,"EUROPE"
"31",-0.34336,44.82143,"EUROPE"
"32",13.788,52.831001,"EUROPE"
"33",7.923509,44.993369,"EUROPE"
"34",8.137757,49.446947,"EUROPE"
"35",-0.74192,39.615739,"EUROPE"
"36",-6.019933,38.218224,"EUROPE"
"37",-8.585955,37.308685,"EUROPE"
"38",0.855718,41.325138,"EUROPE"
"39",102.44555,13.641774,"ASIA"
"40",-1.371446,42.60831,"EUROPE"
"41",-6.282606,37.225216,"EUROPE"
"42",-4.083459,43.123941,"EUROPE"
"43",8.016083,49.027933,"EUROPE"
"44",7.790716,49.533791,"EUROPE"
"45",8.898834,50.134644,"EUROPE"
"46",8.337993,49.942971,"EUROPE"
"47",12.113614,45.690051,"EUROPE"
"48",16.679034,48.739108,"EUROPE"
"49",12.846693,52.091305,"EUROPE"
"50",3.75952,43.90043,"EUROPE"
"51",-8.5841,39.237491,"EUROPE"
"52",-3.632945,37.676497,"EUROPE"
"53",-8.467146,41.612369,"EUROPE"
"54",22.303263,48.620433,"EUROPE"
"55",13.128514,52.392147,"EUROPE"
"56",102.824656,16.470348,"ASIA"
"57",4.740256,50.115831,"EUROPE"
"58",1.914604,41.27372,"EUROPE"
"59",18.682314,50.919003,"EUROPE"
"60",-3.23761,36.752094,"EUROPE"
"61",0.515511,41.017356,"EUROPE"
"62",12.874022,46.084485,"EUROPE"
"63",8.784188,45.474656,"EUROPE"
"64",3.18428,46.10738,"EUROPE"
"65",10.467436,44.11131,"EUROPE"
"66",-3.501032,40.365773,"EUROPE"
"67",16.556338,43.512012,"EUROPE"
"68",6.92748,43.5255,"EUROPE"
"69",9.943858,45.32256,"EUROPE"
"70",-0.921065,42.787698,"EUROPE"
"71",7.327603,45.020361,"EUROPE"
"72",12.407616,41.821202,"EUROPE"
"73",-3.404656,40.228117,"EUROPE"
"74",3.07343,45.82751,"EUROPE"
"75",8.113921,48.602231,"EUROPE"
"76",1.149067,42.657428,"EUROPE"
"77",-8.15619,40.836799,"EUROPE"
"78",2.989455,42.173977,"EUROPE"
"79",4.03555,43.95642,"EUROPE"
"80",15.614895,48.410846,"EUROPE"
"81",-5.812252,43.278976,"EUROPE"
"82",-5.502732,39.549486,"EUROPE"
"83",7.958699,49.963337,"EUROPE"
"84",-2.54562,39.389141,"EUROPE"
"85",-3.172076,40.490873,"EUROPE"
"86",-1.6222,42.668248,"EUROPE"
"87",13.192413,51.794209,"EUROPE"
"88",2.39141,47.11623,"EUROPE"
"89",1.868144,42.123549,"EUROPE"
"90",6.686836,49.508259,"EUROPE"
"91",-5.752028,37.813961,"EUROPE"
"92",8.278523,49.487743,"EUROPE"
"93",23.402393,46.692681,"EUROPE"
"94",18.401862,43.847512,"EUROPE"
"95",-7.940425,37.437941,"EUROPE"
"96",-8.1387,41.809192,"EUROPE"
"97",12.807492,41.96445,"EUROPE"
"98",16.568279,49.245932,"EUROPE"
"99",-0.897004,41.573305,"EUROPE"
"100",16.315988,48.254025,"EUROPE"
"101",5.56598,43.52123,"EUROPE"
"102",0.08132,48.39579,"EUROPE"
"103",16.527116,48.155453,"EUROPE"
"104",5.66656,43.347431,"EUROPE"
"105",18.243796,50.326021,"EUROPE"
"106",13.476501,52.545322,"EUROPE"
"107",22.837066,52.748926,"EUROPE"
"108",-1.093334,39.966774,"EUROPE"
"109",-7.579348,41.29744,"EUROPE"
"110",7.938599,49.085473,"EUROPE"
"111",22.388381,47.865058,"EUROPE"
"112",9.785902,45.724131,"EUROPE"
"113",13.713443,45.754674,"EUROPE"
"114",-0.421219,42.144601,"EUROPE"
"115",24.462633,50.83735,"EUROPE"
"116",7.617162,50.279362,"EUROPE"
"117",5.98099,43.39043,"EUROPE"
"118",13.718273,51.763503,"EUROPE"
"119",-8.757347,39.52808,"EUROPE"
"120",8.427126,45.637777,"EUROPE"
"121",7.206277,50.082703,"EUROPE"
"122",2.97872,42.392842,"EUROPE"
"123",-1.722867,42.83775,"EUROPE"
"124",14.546221,52.323472,"EUROPE"
"125",-1.119203,37.931757,"EUROPE"
"126",0.41793,47.31345,"EUROPE"
"127",15.361723,46.912061,"EUROPE"
"128",8.638679,49.350803,"EUROPE"
"129",7.832106,48.000364,"EUROPE"
"130",6.737741,49.822437,"EUROPE"
"131",11.266438,42.804208,"EUROPE"
"132",79.026894,12.222648,"ASIA"
"133",7.739223,45.409363,"EUROPE"
"134",17.836039,48.778925,"EUROPE"
"135",77.53085,12.880184,"ASIA"
"136",34.980797,31.715342,"ASIA"
"137",28.73038,44.595102,"EUROPE"
"138",29.915344,39.47935,"ASIA"
"139",13.193543,41.571979,"EUROPE"
"140",76.337679,10.153226,"ASIA"
"141",10.152252,45.641464,"EUROPE"
"142",1.13,43.591,"EUROPE"
"143",102.977611,17.363746,"ASIA"
"144",-0.51,38.67,"EUROPE"
"145",1.09178,45.01834,"EUROPE"
"146",5.14227,44.781013,"EUROPE"
"147",7.648888,49.502918,"EUROPE"
"148",20.36079,50.976475,"EUROPE"
"149",16.7661,50.084294,"EUROPE"
"150",3.717726,43.71474,"EUROPE"
"151",99.040514,18.800087,"ASIA"
"152",20.611891,50.852729,"EUROPE"
"153",6.027094,45.499121,"EUROPE"
"154",-8.598381,41.26608,"EUROPE"
"155",4.18466,47.599052,"EUROPE"
"156",-0.302662,38.580627,"EUROPE"
"157",1.20667,46.70824,"EUROPE"
"158",6.385729,49.960365,"EUROPE"
"159",2.730453,48.889456,"EUROPE"
"160",85.4719,20.2067,"ASIA"
"161",2.43163,43.16884,"EUROPE"
"162",-4.689408,37.944695,"EUROPE"
"163",3.73941,43.936309,"EUROPE"
"164",0.02373,43.41204,"EUROPE"
"165",25.310113,42.131917,"EUROPE"
"166",102.138481,15.008039,"ASIA"
"167",12.020657,42.481927,"EUROPE"
"168",16.17715,48.326013,"EUROPE"
"169",5.922363,49.502142,"EUROPE"
"170",-3.442123,40.892178,"EUROPE"
"171",16.08251,47.797611,"EUROPE"
"172",11.005044,43.731251,"EUROPE"
"173",3.31962,43.9676,"EUROPE"
"174",4.51758,43.63095,"EUROPE"
"175",-5.965949,36.273399,"EUROPE"
"176",16.830151,48.800354,"EUROPE"
"177",3.34832,43.57843,"EUROPE"
"178",8.347856,49.532463,"EUROPE"
"179",0.238331,42.463639,"EUROPE"
"180",-1.258856,41.914888,"EUROPE"
"181",16.853632,49.968038,"EUROPE"
"182",-8.039395,41.708525,"EUROPE"
"183",4.729984,44.215007,"EUROPE"
"184",11.905155,51.53676,"EUROPE"
"185",4.849905,44.939362,"EUROPE"
"186",5.36835,44.45852,"EUROPE"
"187",7.65144,48.069943,"EUROPE"
"188",-0.1026,47.11168,"EUROPE"
"189",7.159932,50.741752,"EUROPE"
"190",9.571064,49.984268,"EUROPE"
"191",6.69091,44.66007,"EUROPE"
"192",-1.064795,46.682827,"EUROPE"
"193",-5.622375,37.958035,"EUROPE"
"194",12.608768,51.932288,"EUROPE"
"195",2.54249,46.63415,"EUROPE"
"196",1.692967,41.280327,"EUROPE"
"197",-2.165453,42.59302,"EUROPE"
"198",18.830654,47.841591,"EUROPE"
"199",8.066222,49.581316,"EUROPE"
"200",7.59602,47.62499,"EUROPE"
"201",7.755618,47.599659,"EUROPE"
"202",7.289876,50.022199,"EUROPE"
"203",-4.127594,36.862747,"EUROPE"
"204",17.902475,43.256275,"EUROPE"
"205",-1.993291,48.309105,"EUROPE"
"206",8.588663,45.773965,"EUROPE"
"207",13.36341,41.57313,"EUROPE"
"208",3.02233,49.51962,"EUROPE"
"209",77.989548,9.822043,"ASIA"
"210",14.334065,37.365162,"EUROPE"
"211",-3.644247,41.018837,"EUROPE"
"212",-0.21363,48.41813,"EUROPE"
"213",6.09291,43.449208,"EUROPE"
"214",25.84403,48.965714,"EUROPE"
"215",6.22974,45.78741,"EUROPE"
"216",4.847002,43.759288,"EUROPE"
"217",17.963692,40.259571,"EUROPE"
"218",113.98856,-8.458967,"ASIA"
"219",-1.67839,48.114109,"EUROPE"
"220",5.504735,45.350163,"EUROPE"
"221",16.279611,47.888047,"EUROPE"
"222",61.079506,55.314374,"ASIA"
"223",15.949451,48.57926,"EUROPE"
"224",11.294613,44.339904,"EUROPE"
"225",-3.685778,40.922045,"EUROPE"
"226",92.834617,26.933638,"ASIA"
"227",18.000637,53.239932,"EUROPE"
"228",2.91618,48.95473,"EUROPE"
"229",-0.676111,43.502778,"EUROPE"
"230",120.055177,-9.963636,"ASIA"
"231",5.50952,45.75246,"EUROPE"
"232",5.021936,47.350945,"EUROPE"
"233",100.989525,14.104242,"ASIA"
"234",5.766059,46.579961,"EUROPE"
"235",15.629,46.886579,"EUROPE"
"236",-5.588328,36.525459,"EUROPE"
