"","long","lat","species","continent","year"
"1",-105.209113,40.115892,"Mantis religiosa","NORTH_AMERICA",2021
"2",-96.588345,42.704742,"Mantis religiosa","NORTH_AMERICA",2025
"3",-105.090936,39.979917,"Mantis religiosa","NORTH_AMERICA",2019
"4",-106.113012,45.434561,"Mantis religiosa","NORTH_AMERICA",2024
"5",-105.01977,40.558825,"Mantis religiosa","NORTH_AMERICA",2016
"6",-105.08273,40.805312,"Mantis religiosa","NORTH_AMERICA",2024
"7",-95.705078,42.54788,"Mantis religiosa","NORTH_AMERICA",2024
"8",-103.031502,36.228115,"Mantis religiosa","NORTH_AMERICA",2024
"9",-101.852347,35.465887,"Mantis religiosa","NORTH_AMERICA",2024
"10",-104.289347,38.233869,"Mantis religiosa","NORTH_AMERICA",2024
"11",-104.961212,39.654888,"Mantis religiosa","NORTH_AMERICA",2024
"12",-105.122928,40.597194,"Mantis religiosa","NORTH_AMERICA",2024
"13",-97.889814,30.043625,"Mantis religiosa","NORTH_AMERICA",2024
"14",-103.823692,36.052403,"Mantis religiosa","NORTH_AMERICA",2024
"15",-101.583555,41.216165,"Mantis religiosa","NORTH_AMERICA",2020
"16",-103.588913,37.758178,"Mantis religiosa","NORTH_AMERICA",2024
"17",-104.907395,40.311833,"Mantis religiosa","NORTH_AMERICA",2016
"18",-104.960027,40.127648,"Mantis religiosa","NORTH_AMERICA",2021
"19",-103.205227,34.40474,"Mantis religiosa","NORTH_AMERICA",2024
"20",-96.658467,40.852488,"Mantis religiosa","NORTH_AMERICA",2021
"21",-103.192689,36.307021,"Mantis religiosa","NORTH_AMERICA",2024
"22",-103.342678,34.164188,"Mantis religiosa","NORTH_AMERICA",2020
"23",-103.535339,37.986872,"Mantis religiosa","NORTH_AMERICA",2023
"24",-100.0213,42.781083,"Mantis religiosa","NORTH_AMERICA",2024
"25",-101.667572,35.234149,"Mantis religiosa","NORTH_AMERICA",2024
"26",-103.812096,37.13892,"Mantis religiosa","NORTH_AMERICA",2024
"27",-104.99955,39.912896,"Mantis religiosa","NORTH_AMERICA",2024
"28",-103.118247,36.568913,"Mantis religiosa","NORTH_AMERICA",2024
"29",-108.53993,45.743971,"Mantis religiosa","NORTH_AMERICA",2024
"30",-106.366882,42.840856,"Mantis religiosa","NORTH_AMERICA",2024
"31",-103.252173,38.06187,"Mantis religiosa","NORTH_AMERICA",2024
"32",-106.213708,35.096917,"Mantis religiosa","NORTH_AMERICA",2023
"33",-104.76998,42.308962,"Mantis religiosa","NORTH_AMERICA",2022
"34",-104.646812,38.732721,"Mantis religiosa","NORTH_AMERICA",2019
"35",-103.85986,44.682644,"Mantis religiosa","NORTH_AMERICA",2020
"36",-104.704689,39.586751,"Mantis religiosa","NORTH_AMERICA",2024
"37",-104.757418,39.495553,"Mantis religiosa","NORTH_AMERICA",2022
"38",-102.293434,39.704407,"Mantis religiosa","NORTH_AMERICA",2024
"39",-98.164092,42.424347,"Mantis religiosa","NORTH_AMERICA",2024
"40",-104.556576,42.203547,"Mantis religiosa","NORTH_AMERICA",2020
"41",-101.7231,40.841882,"Mantis religiosa","NORTH_AMERICA",2024
"42",-96.623112,40.771237,"Mantis religiosa","NORTH_AMERICA",2024
"43",-105.155617,39.683467,"Mantis religiosa","NORTH_AMERICA",2024
"44",-100.963458,40.649473,"Mantis religiosa","NORTH_AMERICA",2024
"45",-102.964444,36.903124,"Mantis religiosa","NORTH_AMERICA",2024
"46",-102.254506,36.831946,"Mantis religiosa","NORTH_AMERICA",2024
"47",-104.837036,38.846126,"Mantis religiosa","NORTH_AMERICA",2020
"48",-104.947067,36.457592,"Mantis religiosa","NORTH_AMERICA",2023
"49",-99.393853,43.802087,"Mantis religiosa","NORTH_AMERICA",2024
"50",-104.106889,38.753228,"Mantis religiosa","NORTH_AMERICA",2024
"51",-104.811715,38.773071,"Mantis religiosa","NORTH_AMERICA",2012
"52",-98.029739,43.69635,"Mantis religiosa","NORTH_AMERICA",2024
"53",-97.27658,43.056981,"Mantis religiosa","NORTH_AMERICA",2024
"54",-104.769329,39.795313,"Mantis religiosa","NORTH_AMERICA",2021
"55",-99.543312,40.693298,"Mantis religiosa","NORTH_AMERICA",2024
"56",-97.180266,43.593335,"Mantis religiosa","NORTH_AMERICA",2024
"57",-100.584442,42.473958,"Mantis religiosa","NORTH_AMERICA",2024
"58",-102.34794,41.402486,"Mantis religiosa","NORTH_AMERICA",2021
"59",-104.984245,44.325425,"Mantis religiosa","NORTH_AMERICA",2024
"60",-96.734012,43.482784,"Mantis religiosa","NORTH_AMERICA",2021
"61",-102.500454,36.729362,"Mantis religiosa","NORTH_AMERICA",2024
"62",-96.365374,42.433874,"Mantis religiosa","NORTH_AMERICA",2024
"63",-104.636162,38.261787,"Mantis religiosa","NORTH_AMERICA",2022
"64",-100.131407,38.896022,"Mantis religiosa","NORTH_AMERICA",2024
"65",-103.673112,41.716583,"Mantis religiosa","NORTH_AMERICA",2024
"66",-104.610813,38.952453,"Mantis religiosa","NORTH_AMERICA",2022
"67",-97.994667,40.861092,"Mantis religiosa","NORTH_AMERICA",2023
"68",-99.340049,38.873297,"Mantis religiosa","NORTH_AMERICA",2024
"69",-102.704049,42.672466,"Mantis religiosa","NORTH_AMERICA",2024
"70",-105.454592,44.287347,"Mantis religiosa","NORTH_AMERICA",2024
"71",-99.082436,40.718842,"Mantis religiosa","NORTH_AMERICA",2024
"72",-93.810233,41.567713,"Mantis religiosa","NORTH_AMERICA",2024
"73",-98.490425,45.458618,"Mantis religiosa","NORTH_AMERICA",2024
"74",-107.249199,46.218235,"Mantis religiosa","NORTH_AMERICA",2024
"75",-98.982032,44.522238,"Mantis religiosa","NORTH_AMERICA",2024
"76",-100.317728,44.367753,"Mantis religiosa","NORTH_AMERICA",2023
"77",-98.385047,40.618296,"Mantis religiosa","NORTH_AMERICA",2024
"78",-100.658218,43.298431,"Mantis religiosa","NORTH_AMERICA",2024
"79",-96.781624,43.568054,"Mantis religiosa","NORTH_AMERICA",2024
"80",-100.731481,46.821354,"Mantis religiosa","NORTH_AMERICA",2024
"81",-104.791747,39.36372,"Mantis religiosa","NORTH_AMERICA",2024
"82",-103.643374,41.875748,"Mantis religiosa","NORTH_AMERICA",2019
"83",-101.355589,35.687254,"Mantis religiosa","NORTH_AMERICA",2024
"84",-96.930763,42.793033,"Mantis religiosa","NORTH_AMERICA",2024
"85",-101.961913,43.738533,"Mantis religiosa","NORTH_AMERICA",2023
"86",-104.76228,40.43091,"Mantis religiosa","NORTH_AMERICA",2020
"87",-97.171249,42.742584,"Mantis religiosa","NORTH_AMERICA",2024
"88",-108.53023,47.62135,"Mantis religiosa","NORTH_AMERICA",2024
"89",-96.963745,42.762359,"Mantis religiosa","NORTH_AMERICA",2022
"90",-99.832051,40.137277,"Mantis religiosa","NORTH_AMERICA",2023
"91",-105.243676,38.443038,"Mantis religiosa","NORTH_AMERICA",2023
"92",-97.11354,31.550085,"Mantis religiosa","NORTH_AMERICA",2024
"93",-109.241383,45.636699,"Mantis religiosa","NORTH_AMERICA",2024
"94",-98.849678,40.689301,"Mantis religiosa","NORTH_AMERICA",2024
"95",-98.347918,43.322179,"Mantis religiosa","NORTH_AMERICA",2024
"96",-104.89068,38.31132,"Mantis religiosa","NORTH_AMERICA",2024
"97",-104.277129,40.17111,"Mantis religiosa","NORTH_AMERICA",2024
"98",-108.416161,45.811096,"Mantis religiosa","NORTH_AMERICA",2022
"99",-96.942322,43.616992,"Mantis religiosa","NORTH_AMERICA",2024
"100",-97.40165,42.905645,"Mantis religiosa","NORTH_AMERICA",2024
"101",-96.785177,44.315332,"Mantis religiosa","NORTH_AMERICA",2024
"102",-108.659527,45.737733,"Mantis religiosa","NORTH_AMERICA",2021
"103",-106.817759,45.081964,"Mantis religiosa","NORTH_AMERICA",2024
"104",-97.793477,42.348349,"Mantis religiosa","NORTH_AMERICA",2024
"105",-104.772645,45.56485,"Mantis religiosa","NORTH_AMERICA",2024
"106",-105.205178,35.622047,"Mantis religiosa","NORTH_AMERICA",2018
"107",-105.00489,37.506572,"Mantis religiosa","NORTH_AMERICA",2024
"108",-98.449785,41.204165,"Mantis religiosa","NORTH_AMERICA",2021
"109",-106.082571,34.889136,"Mantis religiosa","NORTH_AMERICA",2022
"110",-105.393538,42.761156,"Mantis religiosa","NORTH_AMERICA",2023
"111",-101.890288,37.011894,"Mantis religiosa","NORTH_AMERICA",2023
"112",-102.011724,37.084149,"Mantis religiosa","NORTH_AMERICA",2023
"113",-101.251672,41.635003,"Mantis religiosa","NORTH_AMERICA",2023
"114",-103.553143,37.979926,"Mantis religiosa","NORTH_AMERICA",2023
"115",-100.731392,41.092499,"Mantis religiosa","NORTH_AMERICA",2016
"116",-106.384038,45.327408,"Mantis religiosa","NORTH_AMERICA",2023
"117",-99.024452,45.448204,"Mantis religiosa","NORTH_AMERICA",2023
"118",-102.858275,42.097881,"Mantis religiosa","NORTH_AMERICA",2023
"119",-99.31205,43.773328,"Mantis religiosa","NORTH_AMERICA",2023
"120",-102.242362,43.988761,"Mantis religiosa","NORTH_AMERICA",2020
"121",-96.57015,43.218999,"Mantis religiosa","NORTH_AMERICA",2023
"122",-106.026068,34.166282,"Mantis religiosa","NORTH_AMERICA",2023
"123",-106.242157,34.52153,"Mantis religiosa","NORTH_AMERICA",2023
"124",-105.138036,43.434146,"Mantis religiosa","NORTH_AMERICA",2023
"125",-103.003815,42.84021,"Mantis religiosa","NORTH_AMERICA",2020
"126",-104.340901,40.644692,"Mantis religiosa","NORTH_AMERICA",2023
"127",-103.353269,34.986281,"Mantis religiosa","NORTH_AMERICA",2023
"128",-104.579833,38.309283,"Mantis religiosa","NORTH_AMERICA",2022
