"","long","lat","species","continent","year"
"1",-114.157769,43.3136,"Mantis religiosa","NORTH_AMERICA",2018
"2",-118.306652,34.049401,"Mantis religiosa","NORTH_AMERICA",2025
"3",-121.778392,36.684499,"Mantis religiosa","NORTH_AMERICA",2023
"4",-122.874935,45.88862,"Mantis religiosa","NORTH_AMERICA",2019
"5",-122.797722,45.646038,"Mantis religiosa","NORTH_AMERICA",2020
"6",-119.400987,49.943762,"Mantis religiosa","NORTH_AMERICA",2018
"7",-117.173942,46.725995,"Mantis religiosa","NORTH_AMERICA",2021
"8",-121.741937,37.292159,"Mantis religiosa","NORTH_AMERICA",2024
"9",-118.322461,46.003693,"Mantis religiosa","NORTH_AMERICA",2025
"10",-109.55376,38.572101,"Mantis religiosa","NORTH_AMERICA",2016
"11",-123.201579,43.332568,"Mantis religiosa","NORTH_AMERICA",2025
"12",-123.274609,38.584259,"Mantis religiosa","NORTH_AMERICA",2025
"13",-122.611049,45.499241,"Mantis religiosa","NORTH_AMERICA",2022
"14",-120.324067,47.361462,"Mantis religiosa","NORTH_AMERICA",2022
"15",-122.276663,45.405555,"Mantis religiosa","NORTH_AMERICA",2024
"16",-111.9317,40.756469,"Mantis religiosa","NORTH_AMERICA",2023
"17",-116.919472,32.713322,"Mantis religiosa","NORTH_AMERICA",2020
"18",-121.740384,37.203148,"Mantis religiosa","NORTH_AMERICA",2022
"19",-111.86335,40.873531,"Mantis religiosa","NORTH_AMERICA",2022
"20",-117.009075,46.724892,"Mantis religiosa","NORTH_AMERICA",2021
"21",-117.370773,47.734065,"Mantis religiosa","NORTH_AMERICA",2022
"22",-121.166902,45.596043,"Mantis religiosa","NORTH_AMERICA",2025
"23",-121.503296,45.812051,"Mantis religiosa","NORTH_AMERICA",2017
"24",-121.568837,45.702964,"Mantis religiosa","NORTH_AMERICA",2025
"25",-111.801792,40.343509,"Mantis religiosa","NORTH_AMERICA",2022
"26",-120.881019,38.811159,"Mantis religiosa","NORTH_AMERICA",2024
"27",-118.459397,34.352787,"Mantis religiosa","NORTH_AMERICA",2024
"28",-121.760245,42.208099,"Mantis religiosa","NORTH_AMERICA",2023
"29",-122.302658,38.295747,"Mantis religiosa","NORTH_AMERICA",2025
"30",-122.625528,38.244255,"Mantis religiosa","NORTH_AMERICA",2023
"31",-111.818205,41.772708,"Mantis religiosa","NORTH_AMERICA",2020
"32",-119.608025,49.127674,"Mantis religiosa","NORTH_AMERICA",2024
"33",-122.585342,49.051628,"Mantis religiosa","NORTH_AMERICA",2022
"34",-119.517926,49.052263,"Mantis religiosa","NORTH_AMERICA",2022
"35",-119.401695,50.182667,"Mantis religiosa","NORTH_AMERICA",2024
"36",-122.318354,45.33249,"Mantis religiosa","NORTH_AMERICA",2024
"37",-116.88513,32.912709,"Mantis religiosa","NORTH_AMERICA",2020
"38",-122.938748,42.420994,"Mantis religiosa","NORTH_AMERICA",2019
"39",-119.581751,48.368906,"Mantis religiosa","NORTH_AMERICA",2022
"40",-116.177684,43.621991,"Mantis religiosa","NORTH_AMERICA",2023
"41",-120.740139,47.671239,"Mantis religiosa","NORTH_AMERICA",2021
"42",-117.562328,47.937559,"Mantis religiosa","NORTH_AMERICA",2021
"43",-120.336385,46.307306,"Mantis religiosa","NORTH_AMERICA",2024
"44",-119.672222,49.369288,"Mantis religiosa","NORTH_AMERICA",2024
"45",-123.039219,44.026228,"Mantis religiosa","NORTH_AMERICA",2014
"46",-117.667126,49.325013,"Mantis religiosa","NORTH_AMERICA",2024
"47",-108.354003,39.111,"Mantis religiosa","NORTH_AMERICA",2023
"48",-105.205582,40.42448,"Mantis religiosa","NORTH_AMERICA",2019
"49",-112.3606,42.68274,"Mantis religiosa","NORTH_AMERICA",2021
"50",-112.450992,42.895569,"Mantis religiosa","NORTH_AMERICA",2021
"51",-117.23239,46.509912,"Mantis religiosa","NORTH_AMERICA",2021
"52",-122.560664,46.943356,"Mantis religiosa","NORTH_AMERICA",2024
"53",-117.225097,45.350567,"Mantis religiosa","NORTH_AMERICA",2023
"54",-99.171744,19.519825,"Mantis religiosa","NORTH_AMERICA",2024
"55",-119.639988,47.142608,"Mantis religiosa","NORTH_AMERICA",2024
"56",-117.578084,49.012893,"Mantis religiosa","NORTH_AMERICA",2022
"57",-119.637668,49.565391,"Mantis religiosa","NORTH_AMERICA",2020
"58",-119.516296,49.519685,"Mantis religiosa","NORTH_AMERICA",2014
"59",-121.85484,37.166665,"Mantis religiosa","NORTH_AMERICA",2024
"60",-114.030155,47.828568,"Mantis religiosa","NORTH_AMERICA",2024
"61",-123.173941,42.457419,"Mantis religiosa","NORTH_AMERICA",2024
"62",-119.31038,46.267799,"Mantis religiosa","NORTH_AMERICA",2024
"63",-106.526321,35.084119,"Mantis religiosa","NORTH_AMERICA",2023
"64",-111.994753,41.068559,"Mantis religiosa","NORTH_AMERICA",2019
"65",-119.730812,39.492455,"Mantis religiosa","NORTH_AMERICA",2021
"66",-118.085513,36.571301,"Mantis religiosa","NORTH_AMERICA",2024
"67",-121.310513,39.438882,"Mantis religiosa","NORTH_AMERICA",2024
"68",-106.6718,34.979778,"Mantis religiosa","NORTH_AMERICA",2024
"69",-116.673069,33.110724,"Mantis religiosa","NORTH_AMERICA",2023
"70",-123.09024,43.993954,"Mantis religiosa","NORTH_AMERICA",2022
"71",-109.279883,34.098778,"Mantis religiosa","NORTH_AMERICA",2024
"72",-118.955946,34.155505,"Mantis religiosa","NORTH_AMERICA",2021
"73",-121.332108,38.584253,"Mantis religiosa","NORTH_AMERICA",2020
"74",-122.343011,40.48503,"Mantis religiosa","NORTH_AMERICA",2023
"75",-109.780909,35.066082,"Mantis religiosa","NORTH_AMERICA",2017
"76",-121.391503,45.680687,"Mantis religiosa","NORTH_AMERICA",2021
"77",-122.684791,38.596512,"Mantis religiosa","NORTH_AMERICA",2019
"78",-121.787758,38.536963,"Mantis religiosa","NORTH_AMERICA",2023
"79",-112.263045,40.595236,"Mantis religiosa","NORTH_AMERICA",2024
"80",-120.526618,38.626864,"Mantis religiosa","NORTH_AMERICA",2019
"81",-120.041436,34.693608,"Mantis religiosa","NORTH_AMERICA",2024
"82",-121.384575,39.124264,"Mantis religiosa","NORTH_AMERICA",2023
