"","species","long","lat","continent","year"
"1","Mantis religiosa",-122.443055,37.737811,"NORTH_AMERICA",2025
"2","Mantis religiosa",-114.257928,43.46753,"NORTH_AMERICA",2025
"3","Mantis religiosa",-105.282762,40.050536,"NORTH_AMERICA",2025
"4","Mantis religiosa",-122.191672,38.14087,"NORTH_AMERICA",2025
"5","Mantis religiosa",-118.306652,34.049401,"NORTH_AMERICA",2025
"6","Mantis religiosa",-121.665497,36.674858,"NORTH_AMERICA",2025
"7","Mantis religiosa",-122.275033,37.4944,"NORTH_AMERICA",2025
"8","Mantis religiosa",-122.814628,45.855308,"NORTH_AMERICA",2025
"9","Mantis religiosa",-122.79949,45.615168,"NORTH_AMERICA",2025
"10","Mantis religiosa",-122.12638,38.185742,"NORTH_AMERICA",2025
"11","Mantis religiosa",-122.312928,37.882267,"NORTH_AMERICA",2025
"12","Mantis religiosa",-79.558212,43.569197,"NORTH_AMERICA",2025
"13","Mantis religiosa",-79.55825,43.569183,"NORTH_AMERICA",2025
"14","Mantis religiosa",-122.253595,38.076092,"NORTH_AMERICA",2025
"15","Mantis religiosa",-119.461723,49.863317,"NORTH_AMERICA",2025
"16","Mantis religiosa",-118.339845,33.867263,"NORTH_AMERICA",2025
"17","Mantis religiosa",-122.06615,36.986787,"NORTH_AMERICA",2025
"18","Mantis religiosa",-117.1762,46.72263,"NORTH_AMERICA",2025
"19","Mantis religiosa",-121.720795,37.402637,"NORTH_AMERICA",2025
"20","Mantis religiosa",-121.725849,36.738822,"NORTH_AMERICA",2025
"21","Mantis religiosa",-117.167297,46.722678,"NORTH_AMERICA",2025
"22","Mantis religiosa",-123.551972,48.341903,"NORTH_AMERICA",2025
"23","Mantis religiosa",-123.551843,48.341898,"NORTH_AMERICA",2025
"24","Mantis religiosa",-123.551422,48.342045,"NORTH_AMERICA",2025
"25","Mantis religiosa",-123.551895,48.341873,"NORTH_AMERICA",2025
"26","Mantis religiosa",-122.9226,38.271125,"NORTH_AMERICA",2025
"27","Mantis religiosa",-122.443367,37.739242,"NORTH_AMERICA",2025
"28","Mantis religiosa",-122.166153,38.143372,"NORTH_AMERICA",2025
"29","Mantis religiosa",-88.008375,43.192932,"NORTH_AMERICA",2025
"30","Mantis religiosa",-119.85257,34.409767,"NORTH_AMERICA",2025
"31","Mantis religiosa",-122.814667,45.855337,"NORTH_AMERICA",2025
"32","Mantis religiosa",-75.2129,38.573402,"NORTH_AMERICA",2025
"33","Mantis religiosa",-80.217945,43.555659,"NORTH_AMERICA",2025
"34","Mantis religiosa",-118.322461,46.003693,"NORTH_AMERICA",2025
"35","Mantis religiosa",-109.580667,38.579088,"NORTH_AMERICA",2025
"36","Mantis religiosa",-123.201579,43.332568,"NORTH_AMERICA",2025
"37","Mantis religiosa",-123.274609,38.584259,"NORTH_AMERICA",2025
